rodada,algoritmo,RMSE
1,MF+PB---alpha0-0,0.85668
2,MF+PB---alpha0-0,0.85469
3,MF+PB---alpha0-0,0.86166
4,MF+PB---alpha0-0,0.85304
5,MF+PB---alpha0-0,0.85911
6,MF+PB---alpha0-0,0.85695
7,MF+PB---alpha0-0,0.86358
8,MF+PB---alpha0-0,0.85881
9,MF+PB---alpha0-0,0.86143
10,MF+PB---alpha0-0,0.85872
11,MF+PB---alpha0-0,0.86733
12,MF+PB---alpha0-0,0.85395
13,MF+PB---alpha0-0,0.86393
14,MF+PB---alpha0-0,0.86453
15,MF+PB---alpha0-0,0.85477
16,MF+PB---alpha0-0,0.8594
17,MF+PB---alpha0-0,0.85759
18,MF+PB---alpha0-0,0.8628
19,MF+PB---alpha0-0,0.85842
20,MF+PB---alpha0-0,0.86018
21,MF+PB---alpha0-0,0.85733
22,MF+PB---alpha0-0,0.86402
23,MF+PB---alpha0-0,0.8636
24,MF+PB---alpha0-0,0.86128
25,MF+PB---alpha0-0,0.86465
26,MF+PB---alpha0-0,0.85881
27,MF+PB---alpha0-0,0.8599
28,MF+PB---alpha0-0,0.85052
29,MF+PB---alpha0-0,0.86594
30,MF+PB---alpha0-0,0.86035
1,MF+PB---alpha0-1,0.82954
2,MF+PB---alpha0-1,0.82701
3,MF+PB---alpha0-1,0.83292
4,MF+PB---alpha0-1,0.82527
5,MF+PB---alpha0-1,0.83155
6,MF+PB---alpha0-1,0.82888
7,MF+PB---alpha0-1,0.8351
8,MF+PB---alpha0-1,0.82988
9,MF+PB---alpha0-1,0.83378
10,MF+PB---alpha0-1,0.83067
11,MF+PB---alpha0-1,0.83965
12,MF+PB---alpha0-1,0.82682
13,MF+PB---alpha0-1,0.83585
14,MF+PB---alpha0-1,0.83592
15,MF+PB---alpha0-1,0.82683
16,MF+PB---alpha0-1,0.83139
17,MF+PB---alpha0-1,0.83098
18,MF+PB---alpha0-1,0.83399
19,MF+PB---alpha0-1,0.83027
20,MF+PB---alpha0-1,0.83132
21,MF+PB---alpha0-1,0.82944
22,MF+PB---alpha0-1,0.83594
23,MF+PB---alpha0-1,0.83551
24,MF+PB---alpha0-1,0.83378
25,MF+PB---alpha0-1,0.83717
26,MF+PB---alpha0-1,0.83031
27,MF+PB---alpha0-1,0.83224
28,MF+PB---alpha0-1,0.82298
29,MF+PB---alpha0-1,0.83742
30,MF+PB---alpha0-1,0.83171
1,MF+PB---alpha0-2,0.80765
2,MF+PB---alpha0-2,0.80452
3,MF+PB---alpha0-2,0.80926
4,MF+PB---alpha0-2,0.80265
5,MF+PB---alpha0-2,0.80929
6,MF+PB---alpha0-2,0.80585
7,MF+PB---alpha0-2,0.81176
8,MF+PB---alpha0-2,0.80617
9,MF+PB---alpha0-2,0.81147
10,MF+PB---alpha0-2,0.80772
11,MF+PB---alpha0-2,0.81688
12,MF+PB---alpha0-2,0.80493
13,MF+PB---alpha0-2,0.81295
14,MF+PB---alpha0-2,0.81242
15,MF+PB---alpha0-2,0.80412
16,MF+PB---alpha0-2,0.80861
17,MF+PB---alpha0-2,0.80951
18,MF+PB---alpha0-2,0.81021
19,MF+PB---alpha0-2,0.80734
20,MF+PB---alpha0-2,0.80766
21,MF+PB---alpha0-2,0.80671
22,MF+PB---alpha0-2,0.81307
23,MF+PB---alpha0-2,0.81242
24,MF+PB---alpha0-2,0.81156
25,MF+PB---alpha0-2,0.8147
26,MF+PB---alpha0-2,0.80687
27,MF+PB---alpha0-2,0.80971
28,MF+PB---alpha0-2,0.80073
29,MF+PB---alpha0-2,0.81392
30,MF+PB---alpha0-2,0.8082
