rodada,algoritmo,RMSE
1,MF+PB---alpha0-3,0.79144
2,MF+PB---alpha0-3,0.78769
3,MF+PB---alpha0-3,0.79114
4,MF+PB---alpha0-3,0.78562
5,MF+PB---alpha0-3,0.79278
6,MF+PB---alpha0-3,0.78829
7,MF+PB---alpha0-3,0.79399
8,MF+PB---alpha0-3,0.78818
9,MF+PB---alpha0-3,0.79496
10,MF+PB---alpha0-3,0.79031
11,MF+PB---alpha0-3,0.79945
12,MF+PB---alpha0-3,0.7887
13,MF+PB---alpha0-3,0.79569
14,MF+PB---alpha0-3,0.79447
15,MF+PB---alpha0-3,0.7871
16,MF+PB---alpha0-3,0.79152
17,MF+PB---alpha0-3,0.7936
18,MF+PB---alpha0-3,0.79191
19,MF+PB---alpha0-3,0.7901
20,MF+PB---alpha0-3,0.78966
21,MF+PB---alpha0-3,0.78957
22,MF+PB---alpha0-3,0.79588
23,MF+PB---alpha0-3,0.79477
24,MF+PB---alpha0-3,0.79505
25,MF+PB---alpha0-3,0.79766
26,MF+PB---alpha0-3,0.78895
27,MF+PB---alpha0-3,0.79276
28,MF+PB---alpha0-3,0.78422
29,MF+PB---alpha0-3,0.79587
30,MF+PB---alpha0-3,0.79027
1,MF+PB---alpha0-4,0.78128
2,MF+PB---alpha0-4,0.77686
3,MF+PB---alpha0-4,0.77895
4,MF+PB---alpha0-4,0.77455
5,MF+PB---alpha0-4,0.78238
6,MF+PB---alpha0-4,0.77658
7,MF+PB---alpha0-4,0.7822
8,MF+PB---alpha0-4,0.77629
9,MF+PB---alpha0-4,0.78462
10,MF+PB---alpha0-4,0.77882
11,MF+PB---alpha0-4,0.78771
12,MF+PB---alpha0-4,0.77849
13,MF+PB---alpha0-4,0.78444
14,MF+PB---alpha0-4,0.78246
15,MF+PB---alpha0-4,0.77614
16,MF+PB---alpha0-4,0.78049
17,MF+PB---alpha0-4,0.7836
18,MF+PB---alpha0-4,0.77947
19,MF+PB---alpha0-4,0.77892
20,MF+PB---alpha0-4,0.77771
21,MF+PB---alpha0-4,0.7784
22,MF+PB---alpha0-4,0.78471
23,MF+PB---alpha0-4,0.78292
24,MF+PB---alpha0-4,0.78462
25,MF+PB---alpha0-4,0.78641
26,MF+PB---alpha0-4,0.77692
27,MF+PB---alpha0-4,0.78175
28,MF+PB---alpha0-4,0.77383
29,MF+PB---alpha0-4,0.78365
30,MF+PB---alpha0-4,0.77831
1,MF+PB---alpha0-5,0.7774
2,MF+PB---alpha0-5,0.77231
3,MF+PB---alpha0-5,0.77298
4,MF+PB---alpha0-5,0.76971
5,MF+PB---alpha0-5,0.77833
6,MF+PB---alpha0-5,0.77098
7,MF+PB---alpha0-5,0.77664
8,MF+PB---alpha0-5,0.77078
9,MF+PB---alpha0-5,0.7807
10,MF+PB---alpha0-5,0.7735
11,MF+PB---alpha0-5,0.78192
12,MF+PB---alpha0-5,0.77454
13,MF+PB---alpha0-5,0.77946
14,MF+PB---alpha0-5,0.77666
15,MF+PB---alpha0-5,0.77151
16,MF+PB---alpha0-5,0.77579
17,MF+PB---alpha0-5,0.77972
18,MF+PB---alpha0-5,0.77318
19,MF+PB---alpha0-5,0.77406
20,MF+PB---alpha0-5,0.77211
21,MF+PB---alpha0-5,0.77346
22,MF+PB---alpha0-5,0.77985
23,MF+PB---alpha0-5,0.77715
24,MF+PB---alpha0-5,0.78051
25,MF+PB---alpha0-5,0.7812
26,MF+PB---alpha0-5,0.77107
27,MF+PB---alpha0-5,0.77692
28,MF+PB---alpha0-5,0.7698
29,MF+PB---alpha0-5,0.77753
30,MF+PB---alpha0-5,0.7726
1,MF+PB---alpha0-6,0.7799
2,MF+PB---alpha0-6,0.77413
3,MF+PB---alpha0-6,0.77335
4,MF+PB---alpha0-6,0.77121
5,MF+PB---alpha0-6,0.78074
6,MF+PB---alpha0-6,0.77163
7,MF+PB---alpha0-6,0.77745
8,MF+PB---alpha0-6,0.7718
9,MF+PB---alpha0-6,0.78327
10,MF+PB---alpha0-6,0.7745
11,MF+PB---alpha0-6,0.78221
12,MF+PB---alpha0-6,0.77694
13,MF+PB---alpha0-6,0.78086
14,MF+PB---alpha0-6,0.77721
15,MF+PB---alpha0-6,0.77332
16,MF+PB---alpha0-6,0.77751
17,MF+PB---alpha0-6,0.78206
18,MF+PB---alpha0-6,0.77318
19,MF+PB---alpha0-6,0.77564
20,MF+PB---alpha0-6,0.77298
21,MF+PB---alpha0-6,0.77486
22,MF+PB---alpha0-6,0.7814
23,MF+PB---alpha0-6,0.77757
24,MF+PB---alpha0-6,0.78283
25,MF+PB---alpha0-6,0.78215
26,MF+PB---alpha0-6,0.77154
27,MF+PB---alpha0-6,0.7784
28,MF+PB---alpha0-6,0.77222
29,MF+PB---alpha0-6,0.77766
30,MF+PB---alpha0-6,0.77328
1,MF+PB---alpha0-7,0.78871
2,MF+PB---alpha0-7,0.78228
3,MF+PB---alpha0-7,0.78007
4,MF+PB---alpha0-7,0.77901
5,MF+PB---alpha0-7,0.78955
6,MF+PB---alpha0-7,0.7785
7,MF+PB---alpha0-7,0.78461
8,MF+PB---alpha0-7,0.77931
9,MF+PB---alpha0-7,0.7923
10,MF+PB---alpha0-7,0.78177
11,MF+PB---alpha0-7,0.78857
12,MF+PB---alpha0-7,0.78563
13,MF+PB---alpha0-7,0.78862
14,MF+PB---alpha0-7,0.78411
15,MF+PB---alpha0-7,0.78151
16,MF+PB---alpha0-7,0.78563
17,MF+PB---alpha0-7,0.79056
18,MF+PB---alpha0-7,0.77948
19,MF+PB---alpha0-7,0.78362
20,MF+PB---alpha0-7,0.78031
21,MF+PB---alpha0-7,0.78257
22,MF+PB---alpha0-7,0.78933
23,MF+PB---alpha0-7,0.7842
24,MF+PB---alpha0-7,0.79151
25,MF+PB---alpha0-7,0.78923
26,MF+PB---alpha0-7,0.77831
27,MF+PB---alpha0-7,0.78615
28,MF+PB---alpha0-7,0.78105
29,MF+PB---alpha0-7,0.78404
30,MF+PB---alpha0-7,0.78033
1,MF+PB---alpha0-8,0.80362
2,MF+PB---alpha0-8,0.79657
3,MF+PB---alpha0-8,0.79297
4,MF+PB---alpha0-8,0.79292
5,MF+PB---alpha0-8,0.80454
6,MF+PB---alpha0-8,0.79144
7,MF+PB---alpha0-8,0.79796
8,MF+PB---alpha0-8,0.79314
9,MF+PB---alpha0-8,0.80755
10,MF+PB---alpha0-8,0.79515
11,MF+PB---alpha0-8,0.80085
12,MF+PB---alpha0-8,0.80041
13,MF+PB---alpha0-8,0.80254
14,MF+PB---alpha0-8,0.79717
15,MF+PB---alpha0-8,0.7959
16,MF+PB---alpha0-8,0.79994
17,MF+PB---alpha0-8,0.80504
18,MF+PB---alpha0-8,0.79193
19,MF+PB---alpha0-8,0.79781
20,MF+PB---alpha0-8,0.79391
21,MF+PB---alpha0-8,0.79641
22,MF+PB---alpha0-8,0.80345
23,MF+PB---alpha0-8,0.79686
24,MF+PB---alpha0-8,0.80635
25,MF+PB---alpha0-8,0.80228
26,MF+PB---alpha0-8,0.79121
27,MF+PB---alpha0-8,0.79998
28,MF+PB---alpha0-8,0.79606
29,MF+PB---alpha0-8,0.79652
30,MF+PB---alpha0-8,0.79357
1,MF+PB---alpha0-9,0.82431
2,MF+PB---alpha0-9,0.81668
3,MF+PB---alpha0-9,0.81177
4,MF+PB---alpha0-9,0.81264
5,MF+PB---alpha0-9,0.82539
6,MF+PB---alpha0-9,0.81016
7,MF+PB---alpha0-9,0.81718
8,MF+PB---alpha0-9,0.81295
9,MF+PB---alpha0-9,0.82868
10,MF+PB---alpha0-9,0.81434
11,MF+PB---alpha0-9,0.8188
12,MF+PB---alpha0-9,0.82095
13,MF+PB---alpha0-9,0.82232
14,MF+PB---alpha0-9,0.81612
15,MF+PB---alpha0-9,0.81616
16,MF+PB---alpha0-9,0.82013
17,MF+PB---alpha0-9,0.82516
18,MF+PB---alpha0-9,0.81024
19,MF+PB---alpha0-9,0.81788
20,MF+PB---alpha0-9,0.81347
21,MF+PB---alpha0-9,0.81606
22,MF+PB---alpha0-9,0.82344
23,MF+PB---alpha0-9,0.81528
24,MF+PB---alpha0-9,0.82702
25,MF+PB---alpha0-9,0.82103
26,MF+PB---alpha0-9,0.80997
27,MF+PB---alpha0-9,0.81959
28,MF+PB---alpha0-9,0.81692
29,MF+PB---alpha0-9,0.81482
30,MF+PB---alpha0-9,0.81271
1,MF+PB---alpha1-0,0.85035
2,MF+PB---alpha1-0,0.84219
3,MF+PB---alpha1-0,0.83605
4,MF+PB---alpha1-0,0.83775
5,MF+PB---alpha1-0,0.85165
6,MF+PB---alpha1-0,0.83427
7,MF+PB---alpha1-0,0.84188
8,MF+PB---alpha1-0,0.83833
9,MF+PB---alpha1-0,0.85526
10,MF+PB---alpha1-0,0.83894
11,MF+PB---alpha1-0,0.84204
12,MF+PB---alpha1-0,0.84683
13,MF+PB---alpha1-0,0.84755
14,MF+PB---alpha1-0,0.84054
15,MF+PB---alpha1-0,0.84186
16,MF+PB---alpha1-0,0.84577
17,MF+PB---alpha1-0,0.85054
18,MF+PB---alpha1-0,0.83402
19,MF+PB---alpha1-0,0.84343
20,MF+PB---alpha1-0,0.83858
21,MF+PB---alpha1-0,0.84113
22,MF+PB---alpha1-0,0.84888
23,MF+PB---alpha1-0,0.83908
24,MF+PB---alpha1-0,0.85309
25,MF+PB---alpha1-0,0.84508
26,MF+PB---alpha1-0,0.83418
27,MF+PB---alpha1-0,0.84458
28,MF+PB---alpha1-0,0.84319
29,MF+PB---alpha1-0,0.83855
30,MF+PB---alpha1-0,0.83735
