rodada,algoritmo,RMSE
1,alpha0.9---w-2-1-0,0.82424
2,alpha0.9---w-0-1-2,0.81647
3,alpha0.9---w-0-1-2,0.81158
4,alpha0.9---w-0-1-2,0.81259
5,alpha0.9---w-0-1-2,0.82521
6,alpha0.9---w-0-1-2,0.80995
7,alpha0.9---w-0-1-2,0.81705
8,alpha0.9---w-0-1-2,0.81269
9,alpha0.9---w-0-1-2,0.82857
10,alpha0.9---w-0-1-2,0.81418
11,alpha0.9---w-0-1-2,0.81859
12,alpha0.9---w-0-1-2,0.82092
13,alpha0.9---w-0-1-2,0.82191
14,alpha0.9---w-0-1-2,0.81596
15,alpha0.9---w-0-1-2,0.81603
16,alpha0.9---w-0-1-2,0.81983
17,alpha0.9---w-0-1-2,0.82493
18,alpha0.9---w-0-1-2,0.81003
19,alpha0.9---w-0-1-2,0.81767
20,alpha0.9---w-0-1-2,0.8134
21,alpha0.9---w-0-1-2,0.81577
22,alpha0.9---w-0-1-2,0.82332
23,alpha0.9---w-0-1-2,0.81496
24,alpha0.9---w-0-1-2,0.82667
25,alpha0.9---w-0-1-2,0.82086
26,alpha0.9---w-0-1-2,0.80978
27,alpha0.9---w-0-1-2,0.8193
28,alpha0.9---w-0-1-2,0.81689
29,alpha0.9---w-0-1-2,0.81472
30,alpha0.9---w-0-1-2,0.8124
1,alpha0.1---w-0-1-1,0.8253
2,alpha0.9---w-0-2-1,0.81646
3,alpha0.9---w-0-2-1,0.81157
4,alpha0.9---w-0-2-1,0.81265
5,alpha0.9---w-0-2-1,0.82526
6,alpha0.9---w-0-2-1,0.80999
7,alpha0.9---w-0-2-1,0.81704
8,alpha0.9---w-0-2-1,0.8128
9,alpha0.9---w-0-2-1,0.82862
10,alpha0.9---w-0-2-1,0.81418
11,alpha0.9---w-0-2-1,0.81858
12,alpha0.9---w-0-2-1,0.82095
13,alpha0.9---w-0-2-1,0.82196
14,alpha0.9---w-0-2-1,0.81599
15,alpha0.9---w-0-2-1,0.81608
16,alpha0.9---w-0-2-1,0.81982
17,alpha0.9---w-0-2-1,0.825
18,alpha0.9---w-0-2-1,0.81004
19,alpha0.9---w-0-2-1,0.81769
20,alpha0.9---w-0-2-1,0.8134
21,alpha0.9---w-0-2-1,0.81579
22,alpha0.9---w-0-2-1,0.82336
23,alpha0.9---w-0-2-1,0.81505
24,alpha0.9---w-0-2-1,0.82669
25,alpha0.9---w-0-2-1,0.8209
26,alpha0.9---w-0-2-1,0.8098
27,alpha0.9---w-0-2-1,0.81937
28,alpha0.9---w-0-2-1,0.81689
29,alpha0.9---w-0-2-1,0.81471
30,alpha0.9---w-0-2-1,0.81244
1,alpha0.1---w-0-1-2,0.82704
2,alpha0.9---w-1-0-2,0.81653
3,alpha0.9---w-1-0-2,0.81162
4,alpha0.9---w-1-0-2,0.81254
5,alpha0.9---w-1-0-2,0.82521
6,alpha0.9---w-1-0-2,0.80997
7,alpha0.9---w-1-0-2,0.81707
8,alpha0.9---w-1-0-2,0.81268
9,alpha0.9---w-1-0-2,0.82856
10,alpha0.9---w-1-0-2,0.81421
11,alpha0.9---w-1-0-2,0.81865
12,alpha0.9---w-1-0-2,0.82089
13,alpha0.9---w-1-0-2,0.82199
14,alpha0.9---w-1-0-2,0.81596
15,alpha0.9---w-1-0-2,0.81601
16,alpha0.9---w-1-0-2,0.81992
17,alpha0.9---w-1-0-2,0.82494
18,alpha0.9---w-1-0-2,0.81007
19,alpha0.9---w-1-0-2,0.81771
20,alpha0.9---w-1-0-2,0.81339
21,alpha0.9---w-1-0-2,0.81583
22,alpha0.9---w-1-0-2,0.82331
23,alpha0.9---w-1-0-2,0.81497
24,alpha0.9---w-1-0-2,0.82675
25,alpha0.9---w-1-0-2,0.82086
26,alpha0.9---w-1-0-2,0.80981
27,alpha0.9---w-1-0-2,0.81931
28,alpha0.9---w-1-0-2,0.81689
29,alpha0.9---w-1-0-2,0.81472
30,alpha0.9---w-1-0-2,0.81244
1,alpha0.1---w-0-2-1,0.82524
2,alpha0.9---w-1-1-1,0.81648
3,alpha0.9---w-1-1-1,0.81158
4,alpha0.9---w-1-1-1,0.81257
5,alpha0.9---w-1-1-1,0.82523
6,alpha0.9---w-1-1-1,0.80998
7,alpha0.9---w-1-1-1,0.81703
8,alpha0.9---w-1-1-1,0.81276
9,alpha0.9---w-1-1-1,0.82857
10,alpha0.9---w-1-1-1,0.81418
11,alpha0.9---w-1-1-1,0.8186
12,alpha0.9---w-1-1-1,0.82088
13,alpha0.9---w-1-1-1,0.82201
14,alpha0.9---w-1-1-1,0.81596
15,alpha0.9---w-1-1-1,0.81603
16,alpha0.9---w-1-1-1,0.81988
17,alpha0.9---w-1-1-1,0.82498
18,alpha0.9---w-1-1-1,0.81004
19,alpha0.9---w-1-1-1,0.8177
20,alpha0.9---w-1-1-1,0.81337
21,alpha0.9---w-1-1-1,0.81582
22,alpha0.9---w-1-1-1,0.82332
23,alpha0.9---w-1-1-1,0.81504
24,alpha0.9---w-1-1-1,0.82674
25,alpha0.9---w-1-1-1,0.82087
26,alpha0.9---w-1-1-1,0.80979
27,alpha0.9---w-1-1-1,0.81936
28,alpha0.9---w-1-1-1,0.81684
29,alpha0.9---w-1-1-1,0.81469
30,alpha0.9---w-1-1-1,0.81246
1,alpha0.1---w-1-0-1,0.82508
2,alpha0.9---w-1-2-0,0.81652
3,alpha0.9---w-1-2-0,0.81162
4,alpha0.9---w-1-2-0,0.81268
5,alpha0.9---w-1-2-0,0.82533
6,alpha0.9---w-1-2-0,0.81007
7,alpha0.9---w-1-2-0,0.81707
8,alpha0.9---w-1-2-0,0.81292
9,alpha0.9---w-1-2-0,0.82866
10,alpha0.9---w-1-2-0,0.81422
11,alpha0.9---w-1-2-0,0.81864
12,alpha0.9---w-1-2-0,0.82096
13,alpha0.9---w-1-2-0,0.82211
14,alpha0.9---w-1-2-0,0.81605
15,alpha0.9---w-1-2-0,0.81614
16,alpha0.9---w-1-2-0,0.81992
17,alpha0.9---w-1-2-0,0.8251
18,alpha0.9---w-1-2-0,0.8101
19,alpha0.9---w-1-2-0,0.81776
20,alpha0.9---w-1-2-0,0.81343
21,alpha0.9---w-1-2-0,0.81589
22,alpha0.9---w-1-2-0,0.8234
23,alpha0.9---w-1-2-0,0.81519
24,alpha0.9---w-1-2-0,0.82681
25,alpha0.9---w-1-2-0,0.82096
26,alpha0.9---w-1-2-0,0.80986
27,alpha0.9---w-1-2-0,0.8195
28,alpha0.9---w-1-2-0,0.81689
29,alpha0.9---w-1-2-0,0.81474
30,alpha0.9---w-1-2-0,0.81256
1,alpha0.1---w-1-0-2,0.82691
2,alpha0.9---w-2-0-1,0.81656
3,alpha0.9---w-2-0-1,0.81166
4,alpha0.9---w-2-0-1,0.81255
5,alpha0.9---w-2-0-1,0.82526
6,alpha0.9---w-2-0-1,0.81003
7,alpha0.9---w-2-0-1,0.81708
8,alpha0.9---w-2-0-1,0.81278
9,alpha0.9---w-2-0-1,0.82858
10,alpha0.9---w-2-0-1,0.81423
11,alpha0.9---w-2-0-1,0.81869
12,alpha0.9---w-2-0-1,0.82088
13,alpha0.9---w-2-0-1,0.82211
14,alpha0.9---w-2-0-1,0.816
15,alpha0.9---w-2-0-1,0.81605
16,alpha0.9---w-2-0-1,0.81999
17,alpha0.9---w-2-0-1,0.82501
18,alpha0.9---w-2-0-1,0.81011
19,alpha0.9---w-2-0-1,0.81776
20,alpha0.9---w-2-0-1,0.81339
21,alpha0.9---w-2-0-1,0.8159
22,alpha0.9---w-2-0-1,0.82334
23,alpha0.9---w-2-0-1,0.81509
24,alpha0.9---w-2-0-1,0.82684
25,alpha0.9---w-2-0-1,0.82091
26,alpha0.9---w-2-0-1,0.80985
27,alpha0.9---w-2-0-1,0.81941
28,alpha0.9---w-2-0-1,0.81686
29,alpha0.9---w-2-0-1,0.81473
