rodada,algoritmo,RMSE
21,MF+PB,0.77346
22,MF+PB,0.77985
23,MF+PB,0.77715
24,MF+PB,0.78051
25,MF+PB,0.7812
26,MF+PB,0.77107
27,MF+PB,0.77692
28,MF+PB,0.7698
29,MF+PB,0.77753
30,MF+PB,0.7726
1,PB,0.85668
2,PB,0.85469
3,PB,0.86166
4,PB,0.85304
5,PB,0.85911
6,PB,0.85695
7,PB,0.86358
8,PB,0.85881
9,PB,0.86143
10,PB,0.85872
11,PB,0.86733
12,PB,0.85395
13,PB,0.86393
14,PB,0.86453
15,PB,0.85477
16,PB,0.8594
17,PB,0.85759
18,PB,0.8628
19,PB,0.85842
20,PB,0.86018
21,PB,0.85733
22,PB,0.86402
23,PB,0.8636
24,PB,0.86128
25,PB,0.86465
26,PB,0.85881
27,PB,0.8599
28,PB,0.85052
29,PB,0.86594
30,PB,0.86035
1,PB_N,0.86377
2,PB_N,0.86183
3,PB_N,0.86863
4,PB_N,0.85936
5,PB_N,0.86343
6,PB_N,0.86219
7,PB_N,0.87076
8,PB_N,0.86632
9,PB_N,0.86736
10,PB_N,0.86535
11,PB_N,0.87505
12,PB_N,0.86157
13,PB_N,0.86719
14,PB_N,0.87071
15,PB_N,0.86068
16,PB_N,0.86483
17,PB_N,0.86366
18,PB_N,0.86952
19,PB_N,0.86445
20,PB_N,0.86659
21,PB_N,0.86286
22,PB_N,0.87178
23,PB_N,0.86753
24,PB_N,0.86739
25,PB_N,0.87093
26,PB_N,0.86373
27,PB_N,0.86432
28,PB_N,0.85699
29,PB_N,0.87139
30,PB_N,0.86513
1,PB_V,0.85744
2,PB_V,0.85366
3,PB_V,0.86045
4,PB_V,0.85457
5,PB_V,0.8577
6,PB_V,0.85748
7,PB_V,0.86341
8,PB_V,0.86163
9,PB_V,0.86332
10,PB_V,0.85842
11,PB_V,0.86764
12,PB_V,0.855
13,PB_V,0.8613
14,PB_V,0.86278
15,PB_V,0.85542
16,PB_V,0.85985
17,PB_V,0.86
18,PB_V,0.86188
19,PB_V,0.85689
20,PB_V,0.85905
21,PB_V,0.85561
22,PB_V,0.86547
23,PB_V,0.86278
24,PB_V,0.86056
25,PB_V,0.86131
26,PB_V,0.85938
27,PB_V,0.8593
28,PB_V,0.85058
29,PB_V,0.86499
30,PB_V,0.85824
1,Random,2.02806
2,Random,2.01316
3,Random,2.0215
4,Random,2.02526
5,Random,2.02052
6,Random,2.02304
7,Random,2.01403
8,Random,2.03334
9,Random,2.02619
10,Random,2.02248
11,Random,2.01972
12,Random,2.01437
13,Random,2.02345
14,Random,2.01081
15,Random,2.02233
16,Random,2.0186
17,Random,2.02059
18,Random,2.01453
19,Random,2.02013
20,Random,2.02592
21,Random,2.02118
22,Random,2.02702
23,Random,2.01801
24,Random,2.01058
25,Random,2.02051
26,Random,2.02051
27,Random,2.02093
28,Random,2.02602
29,Random,2.00797
30,Random,2.01898
1,RB,0.89741
2,RB,0.88984
3,RB,0.90251
4,RB,0.89601
5,RB,0.89915
6,RB,0.89931
7,RB,0.90458
8,RB,0.89849
9,RB,0.89989
10,RB,0.90411
11,RB,0.90725
12,RB,0.8855
13,RB,0.9004
14,RB,0.89667
15,RB,0.88822
16,RB,0.89362
17,RB,0.89752
18,RB,0.90233
19,RB,0.89891
20,RB,0.89583
21,RB,0.89105
22,RB,0.89662
23,RB,0.90009
24,RB,0.89739
25,RB,0.89525
26,RB,0.89641
27,RB,0.89749
28,RB,0.88442
29,RB,0.90462
30,RB,0.89123
1,RPBL,0.85772
2,RPBL,0.85442
3,RPBL,0.86191
4,RPBL,0.85385
5,RPBL,0.8594
6,RPBL,0.86004
7,RPBL,0.86393
8,RPBL,0.86019
9,RPBL,0.8617
10,RPBL,0.85995
11,RPBL,0.8693
12,RPBL,0.85537
13,RPBL,0.86483
14,RPBL,0.86514
15,RPBL,0.85632
16,RPBL,0.85967
17,RPBL,0.85969
18,RPBL,0.86383
19,RPBL,0.85901
20,RPBL,0.85996
21,RPBL,0.85649
22,RPBL,0.86396
23,RPBL,0.8639
24,RPBL,0.86279
25,RPBL,0.86576
26,RPBL,0.85947
27,RPBL,0.85979
28,RPBL,0.84941
29,RPBL,0.8657
30,RPBL,0.85959
1,SVD++,1.10999
2,SVD++,1.1063
3,SVD++,1.10629
4,SVD++,1.10763
5,SVD++,1.11711
6,SVD++,1.10682
7,SVD++,1.10844
8,SVD++,1.10524
9,SVD++,1.10977
10,SVD++,1.10566
11,SVD++,1.11028
12,SVD++,1.10816
13,SVD++,1.11402
14,SVD++,1.11172
15,SVD++,1.10687
16,SVD++,1.11216
17,SVD++,1.10876
18,SVD++,1.10548
19,SVD++,1.11348
20,SVD++,1.10531
21,SVD++,1.10544
22,SVD++,1.10852
23,SVD++,1.10994
24,SVD++,1.10866
25,SVD++,1.10614
26,SVD++,1.10118
27,SVD++,1.10806
28,SVD++,1.10413
29,SVD++,1.11055
30,SVD++,1.10198
